,company,location,salary_from,salary_to,technologies,title
98,hrConnectum GmbH,"Frankfurt am Main, Deutschland",,,"['cloud', 'docker', 'amazon-web-services', 'kubernetes', 'java']","Cloud Engineer (m/w) at hrConnectum GmbH (Frankfurt am Main, Deutschland)"
99,Docler Holding Luxembourg,"Luxembourg City, Luxembourg",,,['agile'],"Product owner at Docler Holding Luxembourg (Luxembourg City, Luxembourg)"
100,Docler Holding Luxembourg,"Luxembourg City, Luxembourg",,,"['oop', 'php', 'agile']","Senior PHP Developer at Docler Holding Luxembourg (Luxembourg City, Luxembourg)"
101,Docler Holding Luxembourg,"Luxembourg City, Luxembourg",,,"['security', 'testing', 'php', 'python']","IT Security Specialist at Docler Holding Luxembourg (Luxembourg City, Luxembourg)"
102,Docler Holding Luxembourg,"Luxembourg City, Luxembourg",,,"['node.js', 'javascript']","Streaming Engineer at Docler Holding Luxembourg (Luxembourg City, Luxembourg)"
103,Docler Holding,"Luxembourg City, Luxembourg",,,"['java', 'sql', 'oop', 'rest', 'spring']","Java Developer at Docler Holding (Luxembourg City, Luxembourg)"
104,Docler Holding,"Luxembourg City, Luxembourg",,,"['selenium', 'qa', 'c#']","QA Engineer at Docler Holding (Luxembourg City, Luxembourg)"
105,Cadasta,"Washington, DC",,,"['scrum', 'agile', 'gis']","Product Owner at Cadasta (Washington, DC)"
106,Trustpilot,"Vilnius, Lithuania",,,"['.net', 'node.js', 'javascript', 'c#', 'angularjs']","Are you the next ""Neo"" of Full Stack Development? at Trustpilot (Vilnius, Lithuania)"
107,Egnyte,"Pozna, Poland",13222.08,26444.16,"['linux', 'nagios', 'newrelic', 'sysadmin']","Site Reliability Engineer at Egnyte (Pozna, Poland)"
108,"Digital Warehouse, YouSee","København, Denmark",,,"['reactjs', 'javascript', 'html', 'css', 'redux']","JavaScript Developer for our Digital Journey at Digital Warehouse, YouSee (København, Denmark)"
109,Big Wednesday Digital,"Bangkok, Thailand",,,"['.net', 'java', 'scala', 'sql', 'api', 'sysadmin']","Full Stack Engineer - Agoda Hiring Now - Bangkok at Big Wednesday Digital (Bangkok, Thailand)"
110,CYBEX GmbH,"Bayreuth, Deutschland",,,"['php', 'javascript', 'css', 'html', 'mysql']","Web Developer (m/w) Entwicklung u.a. in PHP, JavaScript, HTML 5, CSS at CYBEX GmbH (Bayreuth, Deutschland) (allows remote)"
111,AGFA Healthcare,"Gent, Belgium",,,['java'],"Senior Software Engineer JAVA at AGFA Healthcare (Gent, Belgium) (allows remote)"
112,Comptel Corporation,"Helsinki, Finland",,,"['security', 'cloud', 'java', 'linux', 'architecture']","Software Security Architect at Comptel Corporation (Helsinki, Finland)"
113,JP Morgan Chase,"Glasgow, UK",,,"['agile', 'scrum']","Agile Coach/Scrum Master at JP Morgan Chase (Glasgow, UK)"
114,JP Morgan Chase,"Glasgow, UK",,,['javascript'],"Javascript Developer at JP Morgan Chase (Glasgow, UK)"
115,JP Morgan Chase,"Glasgow, UK",,,['cognos'],"Cognos Developer at JP Morgan Chase (Glasgow, UK)"
116,3Sharp,"Redmond, WA",,,"['azure', 'c#', 'asp.net-web-api', 'html']","Software Developer at 3Sharp (Redmond, WA)"
117,devworx GmbH & Co. KG,"Augsburg, Deutschland",,,"['c#', '.net', 'asp.net', 'wpf', 'entity-framework']","Software Entwickler .NET (m/w) für spannende & abwechslungsreiche Projekte at devworx GmbH & Co. KG (Augsburg, Deutschland)"
118,Wolters Kluwer Tax and Accounting,"Heerenveen, Netherlands",,,"['angularjs', 'node.js', 'javascript']","Software Tester (Javascript, AngularJS, Protractor, SQL-Server) at Wolters Kluwer Tax and Accounting (Heerenveen, Netherlands)"
119,Liquid Labs,"Hamburg, Germany",64097.0,75751.0,"['sketch-3', 'zeplin', 'iot', 'e-commerce', 'hardware']","(Senior) UX/UI Designer in an exciting company builder environment at Liquid Labs (Hamburg, Germany)"
120,Prodigi Group Ltd,"Cardiff, UK",52752.0,79128.0,"['reactjs', 'javascript', 'css', 'redux']","ReactJS, front end tech lead at Prodigi Group Ltd (Cardiff, UK) (allows remote)"
121,Crowd Mobile,"Amsterdam, Netherlands",64097.0,75751.0,"['javascript', 'angularjs', 'angular', 'reactjs', 'react-redux']","Frontend developer at Crowd Mobile (Amsterdam, Netherlands)"
122,Giant Swarm GmbH,"Cologne, Germany",,,"['kubernetes', 'go', 'linux', 'docker']","Site Reliability Engineer (m/f) at Giant Swarm GmbH (Cologne, Germany) (allows remote)"
123,moebel.de Einrichten und Wohnen AG,"Hamburg, Deutschland",64097.0,75751.0,"['reactjs', 'css', 'automated-tests', 'scrum']","Senior Software Engineer Frontend (m/f) at moebel.de Einrichten und Wohnen AG (Hamburg, Deutschland)"
124,BloomReach EMEA,"Amsterdam, Netherlands",,,"['java', 'continuous-integration', 'git', 'maven', 'docker']","Technical Consultant at BloomReach EMEA (Amsterdam, Netherlands)"
125,JP Morgan Chase,"Geneva, Switzerland",,,['ios'],"iOS Developer at JP Morgan Chase (Geneva, Switzerland)"
126,Comcast,"Reston, VA",,,"['python', 'cloud', 'node.js']","Software Engineer at Comcast (Reston, VA)"
127,Comcast,"Philadelphia, PA",,,"['android', 'qa', 'testing']","Device Testing Manager at Comcast (Philadelphia, PA)"
128,Comcast,"Philadelphia, PA",,,"['clojure', 'oop', 'design']","Architect 4, Software Architecture at Comcast (Philadelphia, PA)"
129,Comcast,"Philadelphia, PA",,,['project-management'],"Eng 1, Engineering Ops at Comcast (Philadelphia, PA)"
130,Comcast,"Philadelphia, PA",,,['project-management'],"Eng 1, Engineering Ops at Comcast (Philadelphia, PA)"
131,Comcast,"Philadelphia, PA",,,"['sql', 'tsql', 'automated-tests']","SQL Developer & Analyst at Comcast (Philadelphia, PA)"
132,Comcast,"Philadelphia, PA",,,"['testing', 'project-management', 'automated-tests']","Eng 3,Prodt Dev Engineering at Comcast (Philadelphia, PA)"
133,Comcast,"Philadelphia, PA",,,"['testing', 'project-management', 'automated-tests']","Eng 3,Prodt Dev Engineering at Comcast (Philadelphia, PA)"
134,Comcast,"Philadelphia, PA",,,"['project-management', 'design', 'continuous-integration']","Engineer 3, Software Dev & Engineering at Comcast (Philadelphia, PA)"
135,Comcast,"Lakewood, CO",,,"['jquery', 'web-services', 'html5']","Software Developer at Comcast (Lakewood, CO)"
136,mytaxi (Intelligent Apps GmbH),"Hamburg, Deutschland",,,"['python', 'jupyter', 'java', 'machine-learning', 'r']","Data Scientist Lead (m/f) wanted for leading e-hailing app in Europe (Hamburg) at mytaxi (Intelligent Apps GmbH) (Hamburg, Deutschland)"
137,Sampler,"Toronto, ON, Canada",55247.5,71032.5,"['user-experience', 'responsive-design', 'graphics', 'information-architecture', 'usability']","Product Designer. Kick-Ass Startup. That is all. at Sampler (Toronto, ON, Canada)"
138,VGW (Virtual Gaming Worlds),"Perth, Australia",,,"['java', 'javascript', 'vue.js', 'typescript']","Contract Java Developer (AU$700-800 per day + GST) at VGW (Virtual Gaming Worlds) (Perth, Australia)"
139,VGW (Virtual Gaming Worlds),"Perth, Australia",42177.3,49845.9,"['amazon-web-services', 'python', 'amazon-redshift', 'lambda', 'amazon-s3']","Graduate Data Engineer at VGW (Virtual Gaming Worlds) (Perth, Australia)"
140,Drawboard,"Melbourne, Australia",84354.59999999999,107360.4,"['c#', '.net', 'xaml', 'uwp', 'rest']","Windows 10 App Developer | .NET | C# at Drawboard (Melbourne, Australia)"
141,QuoteCenter,"Vancouver, WA",,,"['agile', 'reactjs', '.net']","Manager of Engineering at QuoteCenter (Vancouver, WA)"
142,JP Morgan Chase,"Chicago, IL",,,"['cloud', 'devops', 'jee', 'java', 'spring']","Cloud JEE DevOps Software Engineer at JP Morgan Chase (Chicago, IL) (allows remote)"
143,Carbon Lighthouse,"San Francisco, CA",,,"['reactjs', 'python', 'node.js', 'amazon-s3', 'agile']","Senior Full Stack Engineer at Carbon Lighthouse (San Francisco, CA)"
144,JP Morgan Chase,"Jersey City, NJ",,,"['javascript', 'java', 'rubyonrails', 'python', 'angular']","VP-Senior Front End Developer at JP Morgan Chase (Jersey City, NJ)"
145,MicroD,"Charlotte, NC",,,"['c#', 'asp.net', 'sql-server', 'iis-8', 'iis']","Software Architect - .NET & C# at MicroD (Charlotte, NC)"
146,Mobeewave,"Montréal, QC, Canada",,,"['mobile', 'manual-testing', 'javascript']","QA Specialist at Mobeewave (Montréal, QC, Canada)"
147,JP Morgan Chase,"Tampa, FL",,,['datawarehouse'],"Software Engineering - Data Warehouse at JP Morgan Chase (Tampa, FL)"
148,JP Morgan Chase,"Tampa, FL",,,['pega'],"Software Engineering - Pega at JP Morgan Chase (Tampa, FL)"
149,JP Morgan Chase,"Chicago, IL",,,"['java', 'j2ee', 'agile', 'test', 'ejb']","Enterprise Systems Sr. Java Software Engineer at JP Morgan Chase (Chicago, IL)"
150,Service Fusion,"Colleyville, TX",60000.0,100000.0,"['python', 'javascript', 'vue.js', 'postgresql']","Vue.js/Javascript/Python Developer - Build NEW Apps with an Established Startup! at Service Fusion (Colleyville, TX) (allows remote)"
151,"Reminder Services, Inc.","Morgan Hill, CA",,,"['lamp', 'postgresql', 'asterisk']","Software Engineer: LAMP at Reminder Services, Inc. (Morgan Hill, CA)"
152,Rally Health,"Chicago, IL",,,"['amazon-web-services', 'devops', 'automation']","Senior DevOps Engineer at Rally Health (Chicago, IL)"
153,Solutions by Design II,"Fairfax, VA",,,"['javascript', 'java', 'html', 'css', 'jquery']","Full Stack Developer at Solutions by Design II (Fairfax, VA)"
154,EdgeLink,"Golden, CO",120000.0,150000.0,"['android', 'java', 'rest']","Android Developer at EdgeLink (Golden, CO)"
155,Booz Allen Hamilton Inc.,"Chantilly, VA",,,"['c#', '.net', 'java']","Software Engineer, Mid at Booz Allen Hamilton Inc. (Chantilly, VA)"
156,Pivotal,"Santa Monica, CA",,,"['go', 'ruby-on-rails', 'agile', 'tdd', 'extreme-programming']","Software Engineer - Cloud Foundry - Santa Monica at Pivotal (Santa Monica, CA)"
157,Pivotal,"Palo Alto, CA",,,"['apache', 'machine-learning', 'java']","Software Engineer - Gemfire at Pivotal (Palo Alto, CA)"
158,Pivotal,"Palo Alto, CA",,,"['tdd', 'pair-programming', 'agile']","Software Engineer - Greenplum Database at Pivotal (Palo Alto, CA)"
159,Simons Foundation,"New York, NY",,,"['wordpress', 'mysql', 'php', 'html']","Web Developer at Simons Foundation (New York, NY)"
160,Pivotal,"San Francisco, CA",,,"['tdd', 'extreme-programming', 'ruby-on-rails', 'java', 'go']","Software Engineer - Cloud Foundry at Pivotal (San Francisco, CA)"
161,Averity,"New York, NY",150000.0,175000.0,"['scala', 'java']","Senior Backend Software Engineer at Averity (New York, NY)"
162,Süddeutsche Krankenversicherung a.G.,"Fellbach, Deutschland",,,"['java', 'software-design', 'architecture', 'cobol']","Softwareentwickler als Leiter (w/m) Anwendungsentwicklung / JAVA at Süddeutsche Krankenversicherung a.G. (Fellbach, Deutschland) (allows remote)"
163,Catalina,"Saint Petersburg, FL",,,"['salesforce', 'apex', 'informatica', 'visualforce', 'apex-data-loader']","Salesforce Developer (Multiple Positions Available) at Catalina (Saint Petersburg, FL)"
164,adMarketplace,"New York, NY",100000.0,130000.0,"['machine-learning', 'apache-spark', 'algorithm', 'apache-kafka', 'python']","Manager, Data Science at adMarketplace (New York, NY)"
165,adMarketplace,"New York, NY",,,"['apache-spark', 'scala', 'java']","Lead Software Engineer at adMarketplace (New York, NY)"
166,MotorK,"Milano, Italy",29135.0,52443.0,"['css', 'css3', 'javascript']","Frontend Developer: Top 10 fastest growing IT company in Italy! at MotorK (Milano, Italy)"
167,Solutions by Design II,"Fairfax, VA",,,"['jenkins', 'chef-recipe', 'puppet', 'openshift', 'kubernetes']","DevOps Engineer - Lead at Solutions by Design II (Fairfax, VA)"
168,data Artisans,"Berlin, Germany",,,"['java', 'distributed-system', 'apache-flink', 'apache-kafka', 'apache-spark']","Senior Distributed Systems Engineer at data Artisans (Berlin, Germany)"
169,data Artisans,"Berlin, Germany",,,"['hadoop', 'apache-flink', 'apache-kafka', 'apache-spark', 'java']","Solutions Architect with Big Data/distributed systems experience at data Artisans (Berlin, Germany) (allows remote)"
170,Foot Locker Europe .com,"Recklinghausen, Germany",,,"['javascript', 'ember.js', 'angularjs', 'html5', 'api']","JavaScript FrontEnd Engineer at Foot Locker Europe .com (Recklinghausen, Germany)"
171,RealVNC,"Cambridge, UK",,,"['embedded', 'windows', 'c++']","Embedded Software Engineer at RealVNC (Cambridge, UK)"
172,TopDevz,"Sacramento, CA",,,"['asp.net', 'asp.net-mvc', 'c#', 'sql-server', 'vb.net']","Full-Stack ASP.NET MVC, C#, VB, SQL Server Engineer (Senior, Remote) at TopDevz (Sacramento, CA) (allows remote)"
173,RealVNC,"Cambridge, UK",,,"['sdk', 'python', 'java', 'c++', 'objective-c']","Software Engineer - SDK at RealVNC (Cambridge, UK)"
174,OVO Energy,"London, UK",,,"['agile', 'automated-tests', 'scala']","Software Engineering Manager at OVO Energy (London, UK)"
175,Stratajet,"London, UK",65940.0,98910.0,"['angularjs', 'javascript', 'agile']","Technical Lead - defining the architectural direction of consumer facing app at Stratajet (London, UK)"
176,Schwäbische Werkzeugmaschinen GmbH,"Schramberg, Deutschland",,,['cnc'],"Softwareentwickler für Konstruktionssoftware (m/w) at Schwäbische Werkzeugmaschinen GmbH (Schramberg, Deutschland)"
177,Arm,"Cambridge, UK",,,"['html5', 'css3', 'javascript', 'restful']","Web Application Engineer at Arm (Cambridge, UK)"
178,King,"Barcelona, Spain",,,"['css', 'reactjs', 'javascript', 'html', 'frontend']","Senior Frontend developer at King (Barcelona, Spain)"
179,Amadeus,"Nice, France",,,['4'],"Data Science Engineer at Amadeus (Nice, France)"
180,OP Financial Group,"Helsinki, Finland",,,"['user-experience', 'javascript', 'css', 'html5', 'user-interface']","Senior UX Designer suunnittelemaan saumattomia palveluita asiakkaillemme! at OP Financial Group (Helsinki, Finland)"
181,OP Financial Group,"Helsinki, Finland",,,['architecture'],"Toimialuearkkitehti auttamaan arkkitehtuurin kehittämisessä ja johtamisessa! at OP Financial Group (Helsinki, Finland)"
182,NetEnt,"Stockholm, Sweden",,,"['javascript', 'html5']","Frontend Game Developer (JavaScript & HTML5) at NetEnt (Stockholm, Sweden)"
183,BHiveLab,"Pittsburgh, PA",,,"['project-management', 'agile', 'web-analytics', 'bigdata']","Sr. Project Manager at BHiveLab (Pittsburgh, PA)"
184,Brainlab AG,"München, Germany",,,"['c#', '.net', 'sharepoint', 'biztalk']","Business Applications Developer at Brainlab AG (München, Germany)"
185,Alax,"München, Deutschland",,,"['javascript', 'node.js', 'angular', 'typescript']","if(you.status === 'student' ) { you.improve('js'); you.work(); we.pay(you); } at Alax (München, Deutschland)"
186,TomTom,"Warsaw, Poland",,,"['java', 'reactjs', 'spring', 'html5', 'java-ee']","Java full-stack Engineer for fleetmanagement solutions at TomTom (Warsaw, Poland)"
187,Agile IT,"Redwood City, CA",,,"['azure', 'asp.net-web-api', 'amazon-web-services', 'c++', 'sql']","Senior Software Developer (Cloud, SaaS, Enterprise) - San Diego at Agile IT (Redwood City, CA)"
188,Zalando SE,"Berlin, Germany",,,"['reactjs', 'javascript', 'python', 'java', 'angularjs']","Senior Full Stack Developer App Marketing at Zalando SE (Berlin, Germany)"
189,social sweethearts® GmbH,"München, Germany",,,"['reactjs', 'javascript', 'redux', 'git']","Senior JavaScript Developer with specific React & Redux experience! at social sweethearts® GmbH (München, Germany)"
190,Volvo Car Corporation(Prd),"Gothenburg, Sweden",,,['catia'],"Senior Business Analyst (Electronic Design - CATIA) at Volvo Car Corporation(Prd) (Gothenburg, Sweden)"
191,Made People,"Stockholm, Sweden",,,"['php', 'git', 'agile', 'mysql', 'e-commerce']","PHP E-commerce Developer at Made People (Stockholm, Sweden)"
192,Illumina Cambridge,"Little Chesterford, UK",52752.0,72534.0,"['python', 'go', 'angularjs', 'c#', 'jama']","Bioinformatics Software Developer (Genomics) at Illumina Cambridge (Little Chesterford, UK)"
193,Configit,"Warwick, UK",,,"['c#', 'javascript', 'angularjs', 'sql', 'rest']","Software Engineer for Delivery at our UK office at Configit (Warwick, UK)"
194,eVision Industry Software,"The Hague, Netherlands",69924.0,93232.0,"['.net', 'c#', 'javascript', 'tdd', 'cqrs']","Full-Stack Software Engineer at eVision Industry Software (The Hague, Netherlands)"
195,Schmetterling International GmbH & Co. KG,"Obertrubach, Deutschland",,,"['javascript', 'jquery', 'php', 'html', 'css']","Web-Entwickler (m/w) Frontend / Software-Entwickler (m/w) für Web at Schmetterling International GmbH & Co. KG (Obertrubach, Deutschland) (allows remote)"
196,aTalent Recruiting,"Helsinki, Finland",,,"['java', 'c#', 'scala', 'mongodb']","Small Giant Games: Software Developer at aTalent Recruiting (Helsinki, Finland)"
197,Logiline GmbH,"Langenhagen, Deutschland",,,"['java', 'apache', 'spring', 'javascript']","Java-Entwickler (m/w) ERP-Software at Logiline GmbH (Langenhagen, Deutschland)"
198,Configit,"Copenhagen, Denmark",,,"['c#', '.net', 'cloud', 'azure', 'javascript']","Senior Software Developer for the Configit Quote® team in Copenhagen at Configit (Copenhagen, Denmark)"
199,NetEnt,"Stockholm, Sweden",,,"['javascript', 'html5', 'ecmascript-6', 'angular', 'css']","Frontend Game Developer - Live Casino at NetEnt (Stockholm, Sweden)"
200,Comcast,"Philadelphia, PA",,,"['c++', 'c', 'qt']","Principal Software Engineer, IPTV at Comcast (Philadelphia, PA)"
201,Comcast,"Philadelphia, PA",,,"['cloud', 'python', 'continuous-integration']","Senior Engineer - Metal as a Service at Comcast (Philadelphia, PA)"
202,Comcast,"Philadelphia, PA",,,"['testing', 'project-management', 'automated-tests']","Eng 3,Prodt Dev Engineering at Comcast (Philadelphia, PA)"
203,Comcast,"Philadelphia, PA",,,"['c', 'c++', 'project-management']","Principal Software Engineer, Video Integ at Comcast (Philadelphia, PA)"
204,Comcast,"Philadelphia, PA",,,"['ios', 'objective-c', 'mobile']","Mobile Applications Manager at Comcast (Philadelphia, PA)"
205,Comcast,"Philadelphia, PA",,,"['continuous-integration', 'oop', 'clojure']","Sr. Salesforce Architect at Comcast (Philadelphia, PA)"
206,Comcast VIPER,"Denver, CO",,,"['cloud', 'linux']","Principle Engineer, VIPER Ops at Comcast VIPER (Denver, CO)"
207,Comcast VIPER,"Denver, CO",,,"['automation', 'python', 'docker']","Lab Manager, VIPER at Comcast VIPER (Denver, CO)"
208,Comcast,"Austin, TX",,,"['web-services', 'python', 'java']","Principal Software Engineer, Xfinity Home at Comcast (Austin, TX)"
209,Comcast,"Austin, TX",,,"['web-services', 'python', 'java']","Software Engineer, Xfinity Home at Comcast (Austin, TX)"
210,Comcast,"Austin, TX",,,"['web-services', 'python', 'java']","Software Engineer, Xfinity Home at Comcast (Austin, TX)"
211,Comcast,"Austin, TX",,,"['oracle', 'web-services', 'python']","Sr. Software Engineer, Xfinity Home at Comcast (Austin, TX)"
212,Nordea Bank,"Helsinki, Finland",,,"['web-services', 'automated-tests', 'testing']","Midrange Data Masking Lead, Test Data Management, Helsinki or Warsaw at Nordea Bank (Helsinki, Finland)"
213,Big Wednesday Digital,"Tel Aviv-Yafo, Israel",,,"['python', 'spark', 'r', 'java', 'sql']","Data Scientist  - World Leading OTA (Agoda) at Big Wednesday Digital (Tel Aviv-Yafo, Israel)"
214,SLI Systems,"Christchurch, New Zealand",,,"['saas', 'e-commerce']","Product Managers (x 2 positions) at SLI Systems (Christchurch, New Zealand)"
215,PayPlug,"Paris, France",,,"['startup', 'saas', 'agile', 'product-management']","Head of Product at PayPlug (Paris, France)"
216,Revl.com,"San Francisco, CA",100000.0,160000.0,"['android', 'rx-android', 'material-design', 'exoplayer', 'kotlin']","Mid-Level Android Engineer at Revl.com (San Francisco, CA) (allows remote)"
217,The Farmer's Dog,"New York, NY",90000.0,140000.0,"['node.js', 'docker', 'amazon-web-services', 'reactjs', 'redux']","A really good Node.js engineer at The Farmer's Dog (New York, NY)"
218,Wizard Staff,"Aliso Viejo, CA",80000.0,95000.0,"['.net', 'c#', 'sql-server', 'javascript', 'html5']","Full Stack .Net Developer at Wizard Staff (Aliso Viejo, CA)"
219,GrubHub Seamless,"New York, NY",,,"['java', 'c#']","Sr. Software Engineer - Order Platform at GrubHub Seamless (New York, NY)"
220,Genome Medical,"San Francisco, CA",,,"['python', 'vue.js', 'rest', 'amazon-web-services', 'php']","Full Stack Engineer + Tech Lead for exciting genomics startup at Genome Medical (San Francisco, CA)"
221,GrubHub Seamless,"New York, NY",,,"['python', 'cassandra', 'splunk', 'hadoop', 'linux']","Site Reliability Engineer - Big Data Team at GrubHub Seamless (New York, NY)"
222,GrubHub Seamless,"New York, NY",,,"['javascript', 'css', 'html', 'python', 'node.js']","Sr. Frontend Engineer - Core at GrubHub Seamless (New York, NY)"
223,Kooltra,"Toronto, ON, Canada",63140.0,78925.0,"['java', 'linux', 'amazon-web-services']","Senior Backend Engineer at Kooltra (Toronto, ON, Canada)"
224,GrubHub Seamless,"Chicago, IL",,,"['java', 'c#', 'cassandra']","Engineering Manager -Internal Tools at GrubHub Seamless (Chicago, IL)"
